name,category_slug,description,maps_url,stories
"Great Britain Street",street,"After the 1891 death of Charles Stewart Parnell, a leading Irish Nationalist, the name was changed from ""Great Britain"" to ""Parnell"" Street.",https://maps.app.goo.gl/fqU3AMzcZndKzYGP6,The Sisters
"Canal Bridge",bridge,"It's a bridge crossing the Royal Canal and is generally identified as Newcomen Bridge, in the North Strand area.",https://maps.app.goo.gl/1VkVjncdrfNuaX1w6,An Encounter|Clay
"Pigeon House",civic-industrial,"The Pigeon House was the electricity and power station which served the city of Dublin. It is now a deserted port.",https://maps.app.goo.gl/2M1dDt8zis3TRbtp9,An Encounter
"North Strand Road",street,"North Strand Road is a street in the Northside of Dublin.",https://maps.app.goo.gl/UaiCTewAjNrN45FF8,An Encounter
"Wharf Road",street,"The Wharf Road, now East Wall Road, is a road that runs along the top of the wall built to keep the River Tolka on course on its way to the sea so that it doesn't flood the city's north-eastern neighbourhoods and industrial complexes.",https://maps.app.goo.gl/xeFEZh6ypFLhLqCa6,An Encounter
"North Richmond Street",street,"North Richmond Street is a quiet cul-de-sac on Dublin's north side and forms the opening setting of Araby. Joyce uses it to establish the confined domestic world of the narrator before his journey toward the bazaar begins.",https://maps.app.goo.gl/WMqrf22SxW1bbe7j7,Araby
"Vitriol Works",civic-industrial,"Vitriol (sulphuric acid) was used for bleaching linen cloth from the mid-18th century onward.",https://maps.app.goo.gl/UaiCTewAjNrN45FF8,An Encounter
"River Liffey",waterway,"The Liffey is Dublin's main river, cutting through the heart of the city and splitting it into a northern and southern half.",https://maps.app.goo.gl/v3opxChXTQK1Joyw9,An Encounter|A Little Cloud|A Painful Case
"Christian Brothers School",institution,"The Christian Brothers' School on North Richmond Street is mentioned in Araby and also appears in Ivy Day in the Committee Room. It reflects the strong presence of Catholic education in everyday Dublin life during Joyce's time.",https://maps.app.goo.gl/9sJfv4pR14egPqmY8,Araby|Ivy Day in the Committee Room
"Buckingham Street",street,"Buckingham Street lies on the north side of Dublin and forms part of the boy's route toward the bazaar in Araby. The street helps trace his movement from a quiet residential neighbourhood into the wider city.",https://maps.app.goo.gl/nZrJ7tstfd4RpQj29,An Encounter|Araby
"Westland Row Station",transport,"Westland Row Station appears in both Araby and After the Race as a point of travel and departure. It represents Dublin's growing modern transport network at the turn of the twentieth century.",https://maps.app.goo.gl/moShyem36XMLYs5g6,Araby|After the Race
"Naas Road",street,"Naas Road forms the western approach into Dublin and is mentioned in After the Race. The racing cars travel along this road as they speed toward the city, symbolising modernity and excitement.",https://maps.app.goo.gl/AFq6dy5kSrfu6t3N7,After the Race
"Dame Street",street,"Dame Street is one of Dublin's major city-centre streets and a hub of commercial activity. In Two Gallants and A Little Cloud it forms part of the busy urban landscape through which the characters move.",https://maps.app.goo.gl/GPGYjr6VuWb1AWgo7,Two Gallants|A Little Cloud|Counterparts
"St Stephen's Green",park,"St Stephen's Green is Dublin's best-known public park and a landmark in the city centre. In Two Gallants Lenehan passes through the park during his wanderings across Dublin.",https://maps.app.goo.gl/m1fxGSbXZyt5tp2F8,Two Gallants|After the Race|The Dead
"Rutland Square",park,"Rutland Square is the first location mentioned in Two Gallants. Its Georgian setting reflects the faded elegance of nineteenth-century Dublin. It was renamed Parnell Square in 1933 and features the Garden of Remembrance park.",https://maps.app.goo.gl/zagjrejDbUT7pxSE9,Two Gallants
"Baggot Street",street,"Baggot St. runs southeast from St. Stephen's Green to the Grand Canal.",https://maps.app.goo.gl/iztuQnuKXGnmfLtt6,Two Gallants|A Painful Case
"Donnybrook Tram",transport,"The Donnybrook tram line was launched in 1873, connecting Merrion Square to Donnybrook's southern terminus. The Donnybrook tramway is no longer in operation but is now used as the Donnybrook Bus Garage.",https://maps.app.goo.gl/74gJQDgERBcu3NtM9,Two Gallants
